esxVersion;buildNumber;vmToolsVersion
5.5p01;1474528;9.4.0
5.5;1331820;9.4.0
5.1u2;1483097;9.0.10
5.1p03;1312873;9.0.5
5.1p02;1157734;9.0.5
5.1ep03;1117900;9.0.5
5.1u1;1065491;9.0.5
5.1ep02;1021289;9.0.1
5.1p01;914609;9.0.1
5.1;799733;9.0.0
5.0p07;1489271;8.6.12
5.0u3;1311175;8.6.11
5.0p06;1254542;8.6.11
5.0ep05;1117897;8.6.11
5.0p05;1024429;8.6.11
5.0u2;914586;8.6.10
5.0p04;821926;8.6.5
5.0p03;768111;8.6.5
5.0p006;721882;8.6.5
5.0p005;702118;8.6.5
5.0p004;653509;8.6.5
5.0u1;623860;8.6.5
5.0p02;515841;8.6.0
5.0p002;504890;8.6.0
5.0p001;474610;8.6.0
5.0;469512;8.6.0
4.1p10;1363503;8.3.19
4.1p09;1198252;8.3.19
4.1p08;1050704;8.3.19
4.1p07;988178;8.3.18
4.1p06;874690;8.3.17
4.1u3;800380;8.3.17
4.1p008;721871;8.3.12
4.1p007;702113;8.3.12
4.1p05;659051;8.3.12
4.1p04;582267;8.3.12
4.1u2;502767;8.3.12
4.1p03;433742;8.3.7
4.1p003;381591;8.3.7
4.1u1;348481;8.3.7
4.1;260247;8.3.2
4.0p14;1335992;8.0.7
4.0p13;1070634;8.0.6
4.0ep09;989856;8.0.5
4.0p12;787047;8.0.4
4.0p015;721907;8.0.4
4.0p014;702116;8.0.4
4.0p11;660575;8.0.4
4.0u4;504850;8.0.4
4.0p10;480973;8.0.4
4.0u3;398348;8.0.4
4.0u2;261974;8.0.3
4.0u1;208167;8.0.2
4.0;164009;8.0.0
3.5p27;988599;7.4.8
3.5p25;702112;7.4.8
3.5p24;604481;7.4.8
3.5R;391406;7.4.8
3.5u5;207095;7.4.8
3.5u4;153875;7.4.7
3.5u3;123629;7.4.6
3.5u2;110271;7.4.6
3.5u2;103909;7.4.6
