indice;catalog_element_id;optional;vmnaming;hostnaming;commercialname;shortname;osfamily;version;type;language;architecture;description;useapplicationtypeid;minmo;maxmo;minmhz;mincpu;maxcpu;middlewareid;role;isrelay;repupgrade
1;14002;false;AD1;AD1;ActiveDirectory AD1-HCS861V1;AD1-HCS861V1;Windows 2008;ITDv1.3 V1;AD1;FR;64bits;Active-Directory and Domain-Controler AD1 HCS8.6.1 V1;ADCNS;4096;4096;256;1;1;31;"";;
2;24002;false;AD1;AD1;ActiveDirectory AD1-HCS862V1;AD1-HCS862V1;Windows 2008;ITDv1.3 V1;AD1;FR;64bits;Active-Directory and Domain-Controler AD1 HCS8.6.2 V1;ADCNS;4096;4096;256;1;1;31;"";;
3;44002;false;AD1;AD1;ActiveDirectory AD1-HCS862V3;AD1-HCS862V3;Windows 2008;ITDv3.1;AD1;FR;64bits;Active-Directory and Domain-Controler AD1 HCS8.6.2 V3;ADCNS;4096;4096;600;1;1;31;"";;
4;14003;false;AD2;AD2;ActiveDirectory AD2-HCS861V1;AD2-HCS861V1;Windows 2008;ITDv1.3 V1;AD2;FR;64bits;Active-Directory and Domain-Controler AD2 HCS8.6.1 V1;ADCNS;4096;4096;256;1;1;33;"";;
5;24003;false;AD2;AD2;ActiveDirectory AD2-HCS862V1;AD2-HCS862V1;Windows 2008;ITDv1.3 V1;AD2;FR;64bits;Active-Directory and Domain-Controler AD2 HCS8.6.2 V1;ADCNS;4096;4096;256;1;1;33;"";;
6;44003;false;AD2;AD2;ActiveDirectory AD2-HCS862V3;AD2-HCS862V3;Windows 2008;ITDv3.1;AD2;FR;64bits;Active-Directory and Domain-Controler AD2 HCS8.6.2 V3;ADCNS;4096;4096;600;1;1;33;"";;
7;14005;true;TOOLBOX;TBX;ToolBox Ucaas-HCS861V1;TOOLBOX-HCS861V1;Windows 2008;ITDv1.0 V1;TB01;FR;64bits;ToolBox (avec installation Middleware) HCS8.6.1 V1;Toolbox;4096;4096;256;1;1;11;"";true;C:\applicativeUpgrade
8;24005;true;TOOLBOX;TBX;ToolBox Ucaas-HCS862V1;TOOLBOX-HCS862V1;Windows 2008;ITDv1.0 V1;TB01;FR;64bits;ToolBox (avec installation Middleware) HCS8.6.2 V1;Toolbox;4096;4096;256;1;1;11;"";true;C:\applicativeUpgrade
9;44005;true;TOOLBOX;TBX;ToolBox Ucaas-HCS862V3;TOOLBOX-HCS862V3;Windows 2008;ITDv3.1;TB01;FR;64bits;ToolBox (avec installation Middleware) HCS8.6.2 V3;Toolbox;2048;2048;300;1;1;14;"";true;C:\applicativeUpgrade
10;44006;true;SERVICE;SRV;Service France Ucaas-HCS862V3;SERVICE-HCS862V3;Windows 2008;ITDv3.1;SV01;FR;64bits;Service (avec installation Middleware) HCS8.6.2 V3;COLL;4096;4096;600;1;1;14;"";;
