indice;catalog_element_id;optional;vmnaming;hostnaming;commercialname;shortname;osfamily;version;type;language;architecture;description;useapplicationtypeid;minmo;maxmo;minmhz;mincpu;maxcpu;middlewareid;role;isrelay;repupgrade
85;105012;true;CUEAC6-25S01E;CU1;CUEAC UCaaS 1-6 operatrices-TOCVPN-HCS862V2-MW2;CUEAC6-25S01E-TOCVPN-HCS862V2-MW2;Windows 2008;ITDV4.0;CUEAC01;FR;64bits;CUEAC International 6 operatrices SQL-Express avec installation Middleware TOCVPN-HCS8.6.2 V2;CUEAC;4;6144;4;1;1;61;;;
75;105022;true;CUEAC6-25S01E;CU1;CUEAC UCaaS 1-6 operatrices-TOCVPN-HCS862V4-MW2;CUEAC6-25S01E-TOCVPN-HCS862V4-MW2;Windows 2008;ITDV4.0;CUEAC01;FR;64bits;CUEAC International 6 operatrices SQL-Express avec installation Middleware TOCVPN-HCS8.6.2 V4;CUEAC;4;6144;4;1;1;61;;;
86;106012;true;CUEAC6-25S01S;CU1;CUEAC UCaaS 6-25 operatrices-TOCVPN-HCS862V2-MW2;CUEAC6-25S01S-TOCVPN-HCS862V2-MW2;Windows 2008;ITDV4.0;CUEAC01;FR;64bits;CUEAC International 25 operatrices SQL-Standard avec installation middleware TOCVPN-HCS8.6.2 V2;CUEAC;4;6144;4;1;1;62;;;
76;106022;true;CUEAC6-25S01S;CU1;CUEAC UCaaS 6-25 operatrices-TOCVPN-HCS862V4-MW2;CUEAC6-25S01S-TOCVPN-HCS862V4-MW2;Windows 2008;ITDV4.0;CUEAC01;FR;64bits;CUEAC International 25 operatrices SQL-Standard avec installation middleware TOCVPN-HCS8.6.2 V4;CUEAC;4;6144;4;1;1;62;;;
87;107012;true;CUEAC25S02;CU2;CUEAC UCaaS 1+25-TOCVPN-HCS862V2-MW2;CUEAC25S02-TOCVPN-HCS862V2-MW2;Windows 2008;ITDV4.0;CUEAC02;FR;64bits;CUEAC International premier incrément de 25 operatrices TOCVPN-HCS8.6.2 V2;CUEAC;4;6144;4;1;1;62;;;
77;107022;true;CUEAC25S02;CU2;CUEAC UCaaS 1+25-TOCVPN-HCS862V4-MW2;CUEAC25S02-TOCVPN-HCS862V4-MW2;Windows 2008;ITDV4.0;CUEAC02;FR;64bits;CUEAC International premier incrément de 25 operatrices TOCVPN-HCS8.6.2 V4;CUEAC;4;6144;4;1;1;62;;;
88;108012;true;CUEAC25S03;CU3;CUEAC UCaaS 2+25-TOCVPN-HCS862V2-MW2;CUEAC25S03-TOCVPN-HCS862V2-MW2;Windows 2008;ITDV4.0;CUEAC03;FR;64bits;CUEAC International second incrément de 25 operatrices TOCVPN-HCS8.6.2 V2;CUEAC;4;6144;4;1;1;62;;;
78;108022;true;CUEAC25S03;CU3;CUEAC UCaaS 2+25-TOCVPN-HCS862V4-MW2;CUEAC25S03-TOCVPN-HCS862V4-MW2;Windows 2008;ITDV4.0;CUEAC03;FR;64bits;CUEAC International second incrément de 25 operatrices TOCVPN-HCS8.6.2 V4;CUEAC;4;6144;4;1;1;62;;;
89;109012;true;CUEAC25S04;CU4;CUEAC UCaaS 3+25-TOCVPN-HCS862V2-MW2;CUEAC25S04-TOCVPN-HCS862V2-MW2;Windows 2008;ITDV4.0;CUEAC04;FR;64bits;CUEAC International troisieme incrément de 25 operatrices TOCVPN-HCS8.6.2 V2;CUEAC;4;6144;4;1;1;62;;;
79;109022;true;CUEAC25S04;CU4;CUEAC UCaaS 3+25-TOCVPN-HCS862V4-MW2;CUEAC25S04-TOCVPN-HCS862V4-MW2;Windows 2008;ITDV4.0;CUEAC04;FR;64bits;CUEAC International troisieme incrément de 25 operatrices TOCVPN-HCS8.6.2 V4;CUEAC;4;6144;4;1;1;62;;;
90;110012;true;CUEAC25S05;CU5;CUEAC UCaaS 4+25-TOCVPN-HCS862V2-MW2;CUEAC25S05-TOCVPN-HCS862V2-MW2;Windows 2008;ITDV4.0;CUEAC05;FR;64bits;CUEAC International quatrieme incrément de 25 operatrices TOCVPN-HCS8.6.2 V2;CUEAC;4;6144;4;1;1;62;;;
80;110022;true;CUEAC25S05;CU5;CUEAC UCaaS 4+25-TOCVPN-HCS862V4-MW2;CUEAC25S05-TOCVPN-HCS862V4-MW2;Windows 2008;ITDV4.0;CUEAC05;FR;64bits;CUEAC International quatrieme incrément de 25 operatrices TOCVPN-HCS8.6.2 V4;CUEAC;4;6144;4;1;1;62;;;
91;111012;true;CUEAC25S06;CU6;CUEAC UCaaS 5+25-TOCVPN-HCS862V2-MW2;CUEAC25S06-TOCVPN-HCS862V2-MW2;Windows 2008;ITDV4.0;CUEAC06;FR;64bits;CUEAC International cinquieme incrément de 25 operatrices TOCVPN-HCS8.6.2 V2;CUEAC;4;6144;4;1;1;62;;;
