catalog_element_id;eth0_type;eth0_address;eth1_type;eth1_address
1212;data;195.25.83.40;;
1213;data;195.25.83.40;;
1500;data;195.25.83.1;;
1501;data;195.25.83.2;;
1502;data;195.25.83.20;;
1503;data;195.25.83.30;;
2200;data;195.25.83.1;;
2201;data;195.25.83.2;;
2202;data;195.25.83.3;;
2203;data;195.25.83.4;;
2204;data;195.25.83.5;;
2207;data;195.25.83.8;;
2208;data;195.25.83.9;;
2209;data;195.25.83.20;;
2210;data;195.25.83.30;;
2212;data;195.25.83.40;;
2213;data;195.25.83.40;;
2500;data;195.25.83.1;;
2501;data;195.25.83.2;;
2502;data;195.25.83.20;;
2503;data;195.25.83.30;;
14002;data;195.25.83.60;private;195.25.83.142
14003;data;195.25.83.61;private;195.25.83.143
14005;data;195.25.83.63;private;195.25.83.144
14007;data;195.25.83.51;private;195.25.83.133
14008;data;195.25.83.52;private;195.25.83.134
14009;data;195.25.83.53;private;195.25.83.135
14010;data;195.25.83.54;private;195.25.83.136
14011;data;195.25.83.55;private;195.25.83.137
14012;data;195.25.83.56;private;195.25.83.138
14013;data;195.25.83.57;private;195.25.83.139
14014;data;195.25.83.58;private;195.25.83.140
14015;data;195.25.83.50;private;195.25.83.132
14016;data;195.25.83.50;private;195.25.83.132
24002;data;195.25.83.60;private;195.25.83.142
24003;data;195.25.83.61;private;195.25.83.143
24005;data;195.25.83.63;private;195.25.83.144
24007;data;195.25.83.51;private;195.25.83.133
24008;data;195.25.83.52;private;195.25.83.134
24009;data;195.25.83.53;private;195.25.83.135
24010;data;195.25.83.54;private;195.25.83.136
24011;data;195.25.83.55;private;195.25.83.137
24012;data;195.25.83.56;private;195.25.83.138
24013;data;195.25.83.57;private;195.25.83.139
24014;data;195.25.83.58;private;195.25.83.140
24015;data;195.25.83.50;private;195.25.83.132
24016;data;195.25.83.50;private;195.25.83.132
