indice;catalog_element_id;optional;vmnaming;hostnaming;commercialname;shortname;osfamily;version;type;language;architecture;description;useapplicationtypeid;minmo;maxmo;minmhz;mincpu;maxcpu;middlewareid;role;isrelay;repupgrade
11;34002;false;AD1;AD1;ActiveDirectory AD1-HCS863V2-MW2;AD1-HCS863V2-MW2;Windows 2008;ITDV1.0;AD1;FR;64bits;Active-Directory and Domain-Controller AD1 with LDS HCS8.6.2 V2;ADCNS;2048;2048;600;1;1;71;;;
12;54002;false;AD1;AD1;ActiveDirectory AD1-HCS863V4-MW2;AD1-HCS863V4-MW2;Windows 2008;ITDV1.0;AD1;FR;64bits;Active-Directory and Domain-Controler AD1 HCS8.6.2 V4 Middleware 2;ADCNS;4096;4096;600;1;1;71;;;
13;34003;false;AD2;AD2;ActiveDirectory AD2-HCS863V2-MW2;AD2-HCS863V2-MW2;Windows 2008;ITDV1.0;AD2;FR;64bits;Active-Directory and Domain-Controller AD2 with LDS HCS8.6.2 V2;ADCNS;2048;2048;600;1;1;71;;;
14;54003;false;AD2;AD2;ActiveDirectory AD2-HCS863V4-MW2;AD2-HCS863V4-MW2;Windows 2008;ITDV1.0;AD2;FR;64bits;Active-Directory and Domain-Controler AD2 HCS8.6.2 V4 Middleware 2;ADCNS;4096;4096;600;1;1;71;;;
15;34005;false;TOOLBOX;TBX;ToolBox Ucaas-HCS863V2-MW2;TOOLBOX-HCS863V2-MW2;Windows 2008;ITDV1.0;TB01;FR;64bits;ToolBox International (avec installation Middleware) HCS8.6.1 V2;Toolbox;2048;2048;300;1;1;51;;true;C:\applicativeUpgrade
16;54005;false;TOOLBOX;TBX;ToolBox Ucaas-HCS863V4-MW2;TOOLBOX-HCS863V4-MW2;Windows 2008;ITDV1.0;TB01;FR;64bits;ToolBox (avec installation Middleware) HCS8.6.2 V4 Middleware 2;Toolbox;2048;2048;300;1;1;51;;true;C:\applicativeUpgrade
17;54006;true;SERVICE;SRV;Service France Ucaas-HCS863V4-MW2;SERVICE-HCS863V4-MW2;Windows 2008;ITDV1.0;SV01;FR;64bits;Service (avec installation Middleware) HCS8.6.2 V4 Middleware 2;COLL;4096;4096;600;1;1;52;;;
48;34015;true;CUEAC6-25S01;CU1;CUEAC UCaaS 1-6 operatrices-HCS863V2-MW2;CUEAC6-25S01E-HCS863V2-MW2;Windows 2008;ITDV1.0;CUEAC01;FR;64bits;CUEAC International 6 operatrices SQL-Express avec installation Middleware HCS8.6.2 V2;CUEAC;6144;6144;2300;1;1;61;;;
49;34016;true;CUEAC6-25S01;CU1;CUEAC UCaaS 6-25 operatrices-HCS863V2-MW2;CUEAC6-25S01S-HCS863V2-MW2;Windows 2008;ITDV1.0;CUEAC01;FR;64bits;CUEAC International 25 operatrices SQL-Standard avec installation middleware HCS8.6.2 V2;CUEAC;6144;6144;2300;1;1;62;;;
50;34007;true;CUEAC25S02;CU2;CUEAC UCaaS 1+25-HCS863V2-MW2;CUEAC25S02-HCS863V2-MW2;Windows 2008;ITDV1.0;CUEAC02;FR;64bits;CUEAC International premier incrément de 25 operatrices HCS8.6.2 V2;CUEAC;6144;6144;2300;1;1;62;;;
51;34008;true;CUEAC25S03;CU3;CUEAC UCaaS 2+25-HCS863V2-MW2;CUEAC25S03-HCS863V2-MW2;Windows 2008;ITDV1.0;CUEAC03;FR;64bits;CUEAC International second incrément de 25 operatrices HCS8.6.2 V2;CUEAC;6144;6144;2300;1;1;62;;;
52;34009;true;CUEAC25S04;CU4;CUEAC UCaaS 3+25-HCS863V2-MW2;CUEAC25S04-HCS863V2-MW2;Windows 2008;ITDV1.0;CUEAC04;FR;64bits;CUEAC International troisieme incrément de 25 operatrices HCS8.6.2 V2;CUEAC;6144;6144;2300;1;1;62;;;
53;34010;true;CUEAC25S05;CU5;CUEAC UCaaS 4+25-HCS863V2-MW2;CUEAC25S05-HCS863V2-MW2;Windows 2008;ITDV1.0;CUEAC05;FR;64bits;CUEAC International quatrieme incrément de 25 operatrices HCS8.6.2 V2;CUEAC;6144;6144;2300;1;1;62;;;
54;34011;true;CUEAC25S06;CU6;CUEAC UCaaS 5+25-HCS863V2-MW2;CUEAC25S06-HCS863V2-MW2;Windows 2008;ITDV1.0;CUEAC06;FR;64bits;CUEAC International cinquieme incrément de 25 operatrices HCS8.6.2 V2;CUEAC;6144;6144;2300;1;1;62;;;
55;34012;true;CUEAC25S07;CU7;CUEAC UCaaS 6+25-HCS863V2-MW2;CUEAC25S07-HCS863V2-MW2;Windows 2008;ITDV1.0;CUEAC07;FR;64bits;CUEAC International sixieme incrément de 25 operatrices HCS8.6.2 V2;CUEAC;6144;6144;2300;1;1;62;;;
56;34013;true;CUEAC25S08;CU8;CUEAC UCaaS 7+25-HCS863V2-MW2;CUEAC25S08-HCS863V2-MW2;Windows 2008;ITDV1.0;CUEAC08;FR;64bits;CUEAC International septième incrément de 25 operatrices HCS8.6.2 V2;CUEAC;6144;6144;2300;1;1;62;;;
57;34014;true;CUEAC25S09;CU9;CUEAC UCaaS 8+25-HCS863V2-MW2;CUEAC25S09-HCS863V2-MW2;Windows 2008;ITDV1.0;CUEAC09;FR;64bits;CUEAC International huitième incrément de 25 operatrices HCS8.6.2 V2;CUEAC;6144;6144;2300;1;1;62;;;
58;54015;true;CUEAC6-25S01;CU1;CUEAC UCaaS 1-6 operatrices-HCS863V4-MW2;CUEAC6-25S01E-HCS863V4-MW2;Windows 2008;ITDV1.0;CUEAC01;FR;64bits;CUEAC International 6 operatrices SQL-Express avec installation Middleware HCS8.6.2 V4;CUEAC;6144;6144;2300;1;1;61;;;
