;WIN_VAADTB;WIN_VAADTB;WIN_VAADTB;WIN_VAADTB;WIN_VAADTB;WIN_VACUEAC25;WIN_VACUEAC25;WIN_VACUEAC25;WIN_VACUEAC25;WIN_VACUEAC25;UCS_VAUCCX;UCS_VAUCCX;UCS_VAUCCX;UCS_VAUCCX;UCS_VAUCCX;UCS_VAUC1000;UCS_VAUC1000;UCS_VAUC1000;UCS_VAUC7500;UCS_VAUC20000;UCS_VAUC40000;UCS_VAUC2500;UCS_VAUC1000;UCS_VAUC1000;UCS_VAUC7500;UCS_VAUC7500;UCS_VAUC20000;UCS_VAUC20000
topology;20000;30000;40000;60000;70000;21000;31000;41000;61000;71000;22000;32000;42000;62000;72000;23000;33000;43000;44000;45000;46000;34000;63000;73000;64000;74000;65000;75000
UCaaS Cisco (1000 users) HCS 8.6.1-V1;X;;;;;X;;;;;X;;;;;X;;;;;;;;;;;;
UCaaS Cisco (1000 users) HCS 8.6.2-V1;;X;;;;;X;;;;;X;;;;;X;;;;;;;;;;;
UCaaS Cisco (1000 devices) HCS 8.6.2-V3;;;X;;;;;X;;;;;X;;;;;X;;;;;;;;;;
UCaaS Cisco (1000 devices) HCS 8.6.2-V3-mig;;;X;;;;X;;;;;X;;;;;X;;;;;;;;;;;
UCaaS Cisco (7500 devices) HCS 8.6.2-V3;;;X;;;;;X;;;;;X;;;;;;X;;;;;;;;;
UCaaS Cisco (7500 devices) HCS 8.6.2-V3-mig;;;X;;;;X;;;;;X;;;;;;;;;;X;;;;;;
UCaaS Cisco (20000 devices) HCS 8.6.2-V3;;;X;;;;;X;;;;;X;;;;;;;X;;;;;;;;
UCaaS Cisco (40000 devices) HCS 8.6.2-V3;;;X;;;;;X;;;;;X;;;;;;;;X;;;;;;;
UCaaS Cisco (2500 users) HCS 8.6.2-V1;;X;;;;;X;;;;;X;;;;;;;;;;X;;;;;;
UCaaS Cisco (1000 devices) HCS 8.6.2-V2-MW2;;;;X;;;;;X;;;;;X;;;;;;;;;X;;;;;
UCaaS Cisco (1000 devices) HCS 8.6.2-V4-MW2;;;;;X;;;;;X;;;;;X;;;;;;;;;X;;;;
UCaaS Cisco (7500 devices) HCS 8.6.2-V2-MW2;;;;X;;;;;X;;;;;X;;;;;;;;;;;X;;;
UCaaS Cisco (7500 devices) HCS 8.6.2-V4-MW2;;;;;X;;;;;X;;;;;X;;;;;;;;;;;X;;
UCaaS Cisco (20000 devices) HCS 8.6.2-V2-MW2;;;;X;;;;;X;;;;;X;;;;;;;;;;;;;X;
UCaaS Cisco (20000 devices) HCS 8.6.2-V4-MW2;;;;;X;;;;;X;;;;;X;;;;;;;;;;;;;X
