collection_name;catalog_element_id;status;use_license_id;optional;backup;vm_naming;commercial_name;short_name;os_family;version;type;language;architecture;description;min_mo;max_mo;ram_unlimited;min_mhz;cpu_unlimited;vcpu_min;vcpu_max;use_catalog_element_id
UCaaS ADs TOOLBOX ITD;14002;available;00001;false;ImageLevel;AD1;ActiveDirectory AD1-HCS861V1;AD1-HCS861V1;Windows 2008;ITDv1.3 V1;AD1;FR;64bits;Active-Directory and Domain-Controler AD1 HCS8.6.1 V1;4096;4096;true;256;true;1;1;31
UCaaS ADs TOOLBOX ITD;24002;available;00001;false;ImageLevel;AD1;ActiveDirectory AD1-HCS862V1;AD1-HCS862V1;Windows 2008;ITDv1.3 V1;AD1;FR;64bits;Active-Directory and Domain-Controler AD1 HCS8.6.2 V1;4096;4096;true;256;true;1;1;31
UCaaS ADs TOOLBOX ITD;44002;available;00001;false;ImageLevel;AD1;ActiveDirectory AD1-HCS862V3;AD1-HCS862V3;Windows 2008;ITDv3.1;AD1;FR;64bits;Active-Directory and Domain-Controler AD1 HCS8.6.2 V3;4096;4096;true;600;true;1;1;31
UCaaS ADs TOOLBOX ITD;14003;available;00001;false;ImageLevel;AD2;ActiveDirectory AD2-HCS861V1;AD2-HCS861V1;Windows 2008;ITDv1.3 V1;AD2;FR;64bits;Active-Directory and Domain-Controler AD2 HCS8.6.1 V1;4096;4096;true;256;true;1;1;33
UCaaS ADs TOOLBOX ITD;24003;available;00001;false;ImageLevel;AD2;ActiveDirectory AD2-HCS862V1;AD2-HCS862V1;Windows 2008;ITDv1.3 V1;AD2;FR;64bits;Active-Directory and Domain-Controler AD2 HCS8.6.2 V1;4096;4096;true;256;true;1;1;33
UCaaS ADs TOOLBOX ITD;44003;available;00001;false;ImageLevel;AD2;ActiveDirectory AD2-HCS862V3;AD2-HCS862V3;Windows 2008;ITDv3.1;AD2;FR;64bits;Active-Directory and Domain-Controler AD2 HCS8.6.2 V3;4096;4096;true;600;true;1;1;33
UCaaS ADs TOOLBOX ITD;14005;available;00001;true;ImageLevel;TOOLBOX;ToolBox Ucaas-HCS861V1;TOOLBOX-HCS861V1;Windows 2008;ITDv1.0 V1;TB01;FR;64bits;ToolBox (avec installation Middleware) HCS8.6.1 V1;4096;4096;true;256;true;1;1;11
UCaaS ADs TOOLBOX ITD;24005;available;00001;true;ImageLevel;TOOLBOX;ToolBox Ucaas-HCS862V1;TOOLBOX-HCS862V1;Windows 2008;ITDv1.0 V1;TB01;FR;64bits;ToolBox (avec installation Middleware) HCS8.6.2 V1;4096;4096;true;256;true;1;1;11
UCaaS ADs TOOLBOX ITD;44005;available;00001;true;ImageLevel;TOOLBOX;ToolBox Ucaas-HCS862V3;TOOLBOX-HCS862V3;Windows 2008;ITDv3.1;TB01;FR;64bits;ToolBox (avec installation Middleware) HCS8.6.2 V3;2048;2048;true;300;true;1;1;14
UCaaS ADs TOOLBOX ITD;44006;available;00001;true;ImageLevel;SERVICE;Service France Ucaas-HCS862V3;SERVICE-HCS862V3;Windows 2008;ITDv3.1;SV01;FR;64bits;Service (avec installation Middleware) HCS8.6.2 V3;4096;4096;true;600;true;1;1;14
UCaaS ADs TOOLBOX ITD;34002;available;00001;false;ImageLevel;AD1;ActiveDirectory AD1-HCS862V2-MW2;AD1-HCS862V2-MW2;Windows 2008;ITDV1.0;AD1;FR;64bits;Active-Directory and Domain-Controller AD1 with LDS HCS8.6.2 V2;2048;2048;true;600;true;1;1;71
UCaaS ADs TOOLBOX ITD;54002;available;00001;false;ImageLevel;AD1;ActiveDirectory AD1-HCS862V4-MW2;AD1-HCS862V4-MW2;Windows 2008;ITDV1.0;AD1;FR;64bits;Active-Directory and Domain-Controler AD1 HCS8.6.2 V4 Middleware 2;4096;4096;true;600;true;1;1;31
UCaaS ADs TOOLBOX ITD;34003;available;00001;false;ImageLevel;AD2;ActiveDirectory AD2-HCS862V2-MW2;AD2-HCS862V2-MW2;Windows 2008;ITDV1.0;AD2;FR;64bits;Active-Directory and Domain-Controller AD2 with LDS HCS8.6.2 V2;2048;2048;true;600;true;1;1;71
UCaaS ADs TOOLBOX ITD;54003;available;00001;false;ImageLevel;AD2;ActiveDirectory AD2-HCS862V4-MW2;AD2-HCS862V4-MW2;Windows 2008;ITDV1.0;AD2;FR;64bits;Active-Directory and Domain-Controler AD2 HCS8.6.2 V4 Middleware 2;4096;4096;true;600;true;1;1;33
UCaaS ADs TOOLBOX ITD;34005;available;00001;false;ImageLevel;TOOLBOX;ToolBox Ucaas-HCS862V2-MW2;TOOLBOX-HCS862V2-MW2;Windows 2008;ITDV1.0;TB01;FR;64bits;ToolBox International (avec installation Middleware) HCS8.6.1 V2;2048;2048;true;300;true;1;1;51
UCaaS ADs TOOLBOX ITD;54005;available;00001;true;ImageLevel;TOOLBOX;ToolBox Ucaas-HCS862V4-MW2;TOOLBOX-HCS862V4-MW2;Windows 2008;ITDV1.0;TB01;FR;64bits;ToolBox (avec installation Middleware) HCS8.6.2 V4 Middleware 2;2048;2048;true;300;true;1;1;51
UCaaS ADs TOOLBOX ITD;54006;available;00001;true;ImageLevel;SERVICE;Service France Ucaas-HCS862V4-MW2;SERVICE-HCS862V4-MW2;Windows 2008;ITDV1.0;SV01;FR;64bits;Service (avec installation Middleware) HCS8.6.2 V4 Middleware 2;4096;4096;true;600;true;1;1;51
UCaaS CUEACs ITD;14015;available;00001;true;ImageLevel;CUEAC6-25S01;CUEAC UCaaS 1-6 operatrices-HCS861V1;CUEAC6-25S01E-HCS861V1;Windows 2008;ITDv1.2 V1;CUEAC01;FR;64bits;CUEAC 6 operatrices SQL-Express avec installation Middleware HCS8.6.1 V1;4096;4096;true;256;true;1;1;21
