versionHCS;shortname;mincpu;maxcpu;minmhz;minmo;maxmo
861V1;AD1-HCS861V1;1;1;256;4096;4096
862V1;AD1-HCS862V1;1;1;256;4096;4096
862V3;AD1-HCS862V3;1;1;600;4096;4096
861V1;AD2-HCS861V1;1;1;256;4096;4096
862V1;AD2-HCS862V1;1;1;256;4096;4096
862V3;AD2-HCS862V3;1;1;600;4096;4096
861V1;TOOLBOX-HCS861V1;1;1;256;4096;4096
862V1;TOOLBOX-HCS862V1;1;1;256;4096;4096
862V3;TOOLBOX-HCS862V3;1;1;300;2048;2048
862V3;SERVICE-HCS862V3;1;1;600;4096;4096
862V2-MW2;AD1-HCS862V2-MW2;1;1;600;2048;2048
862V4-MW2;AD1-HCS862V4-MW2;1;1;600;4096;4096
862V2-MW2;AD2-HCS862V2-MW2;1;1;600;2048;2048
862V4-MW2;AD2-HCS862V4-MW2;1;1;600;4096;4096
862V2-MW2;TOOLBOX-HCS862V2-MW2;1;1;300;2048;2048
862V4-MW2;TOOLBOX-HCS862V4-MW2;1;1;300;2048;2048
862V4-MW2;SERVICE-HCS862V4-MW2;1;1;600;4096;4096
861V1;CUEAC6-25S01E-HCS861V1;1;1;256;4096;4096
862V1;CUEAC6-25S01E-HCS862V1;1;1;256;4096;4096
862V3;CUEAC6-25S01E-HCS862V3;1;1;2300;6128;6128
861V1;CUEAC6-25S01S-HCS861V1;1;1;256;4096;4096
862V1;CUEAC6-25S01S-HCS862V1;1;1;256;4096;4096
862V3;CUEAC6-25S01S-HCS862V3;1;1;2300;6128;6128
861V1;CUEAC25S02-HCS861V1;1;1;256;4096;4096
862V1;CUEAC25S02-HCS862V1;1;1;256;4096;4096
862V3;CUEAC25S02-HCS862V3;1;1;2300;6128;6128
861V1;CUEAC25S03-HCS861V1;1;1;256;4096;4096
862V1;CUEAC25S03-HCS862V1;1;1;256;4096;4096
862V3;CUEAC25S03-HCS862V3;1;1;2300;6128;6128
861V1;CUEAC25S04-HCS861V1;1;1;256;4096;4096
862V1;CUEAC25S04-HCS862V1;1;1;256;4096;4096
862V3;CUEAC25S04-HCS862V3;1;1;2300;6128;6128
861V1;CUEAC25S05-HCS861V1;1;1;256;4096;4096
862V1;CUEAC25S05-HCS862V1;1;1;256;4096;4096
862V3;CUEAC25S05-HCS862V3;1;1;2300;6128;6128
861V1;CUEAC25S06-HCS861V1;1;1;256;4096;4096
862V1;CUEAC25S06-HCS862V1;1;1;256;4096;4096
862V3;CUEAC25S06-HCS862V3;1;1;2300;6128;6128
861V1;CUEAC25S07-HCS861V1;1;1;256;4096;4096
862V1;CUEAC25S07-HCS862V1;1;1;256;4096;4096
